,trn,tst,oot
0,0.6246740933870586,0.6158587839731017,0.5850796311818944
1,0.6215960217854606,0.627071047458579,0.5875943000838223
2,0.6282444549315715,0.6137071651090342,0.5875943000838223
3,0.625889890840057,0.6197261804973456,0.586756077116513
4,0.6234195911615267,0.6269751693002258,0.5884325230511316
5,0.6281187182215916,0.6138028169014085,0.588013411567477
6,0.6249554790454708,0.6180245535714286,0.5871751886001676
7,0.629848628192999,0.6108138552520417,0.5884325230511316
8,0.624837066003081,0.6219170403587444,0.586756077116513
9,0.626959619952494,0.6155561750766657,0.586756077116513
10,0.6223359923800452,0.6283259423503326,0.5875943000838223
11,0.6286904761904762,0.6132520099805933,0.5875943000838223
12,0.6247935833923095,0.621422499291584,0.5884325230511316
13,0.6263802208353336,0.6185034013605443,0.586756077116513
14,0.6299591247896129,0.6104635402548116,0.5875943000838223
15,0.6216408192257606,0.6289325842696629,0.5884325230511316
16,0.6249850995351055,0.6224433388612494,0.5888516345347863
17,0.6221533325384524,0.626243093922652,0.588013411567477
18,0.6240199572344975,0.6235720256338813,0.588013411567477
19,0.624448419797257,0.6236885698509111,0.5888516345347863
20,0.6278155166249553,0.613108407079646,0.5884325230511316
21,0.6212648505940238,0.6292868807838867,0.5859178541492037
22,0.620566531778148,0.6299583911234397,0.5884325230511316
23,0.6274532986521636,0.6162299239222316,0.588013411567477
24,0.6216023738872404,0.628140703517588,0.588013411567477
25,0.6257289063429727,0.618756936736959,0.5859178541492037
26,0.6263880597014926,0.6192180616740088,0.5892707460184409
27,0.6268692143365773,0.6168667969840826,0.588013411567477
28,0.6243041572900627,0.6234567901234568,0.5892707460184409
29,0.630308076602831,0.6088888888888889,0.5884325230511316
30,0.6223751334677897,0.6254891000558972,0.5884325230511316
31,0.6261726635791474,0.6182375906302287,0.5888516345347863
32,0.6229781160799239,0.6246179494303973,0.5875943000838223
33,0.6280747398297067,0.6139115742044494,0.5892707460184409
34,0.6262494050452165,0.6203164029975021,0.5884325230511316
35,0.6193256284999404,0.6344770337576093,0.5888516345347863
36,0.6260345235280208,0.6196111580726965,0.5892707460184409
37,0.6244030563514804,0.6226934728724869,0.5871751886001676
38,0.6207507082152974,0.6302687411598302,0.5875943000838223
39,0.6246438746438746,0.6229416689924644,0.5888516345347863
40,0.6281975716138158,0.6129398410896708,0.5846605196982397
41,0.6254013556903318,0.6203446359088383,0.5859178541492037
42,0.6216184288245717,0.6312817617165444,0.5892707460184409
43,0.6220163876024225,0.6277189068600112,0.588013411567477
44,0.6240397116180121,0.6252115059221658,0.5884325230511316
45,0.6250297973778307,0.6206801216477744,0.5884325230511316
46,0.6246150201374082,0.6241234221598878,0.5871751886001676
47,0.6269436201780415,0.6169737576772752,0.588013411567477
48,0.6233345336694275,0.6232317736670294,0.5884325230511316
49,0.6197082037790003,0.6337448559670782,0.5896898575020956
