bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2501.0,458.0,2043.0,18.31267493002799,81.68732506997202,2501.0,458.0,2043.0,0.1858705886172527,56.04938271604938,55.863512127432124,0.22418012726382772,8172000.0,45800.0,8126200.0
2.0,2500.0,2267.0,233.0,90.68,9.319999999999993,5001.0,2725.0,2276.0,1.1058894191747022,62.44170096021948,61.33581154104478,1.1972759226713532,9104000.0,272500.0,8831500.0
3.0,2501.0,2467.0,34.0,98.640543782487,1.3594562175129994,7502.0,5192.0,2310.0,2.1070744456348818,63.37448559670782,61.26741115107294,2.2476190476190476,9240000.0,519200.0,8720800.0
4.0,2500.0,2474.0,26.0,98.96,1.0400000000000063,10002.0,7666.0,2336.0,3.1111002889516572,64.0877914951989,60.976691206247246,3.281678082191781,9344000.0,766600.0,8577400.0
5.0,2501.0,2476.0,25.0,99.00039984006398,0.9996001599360227,12503.0,10142.0,2361.0,4.11593779422746,64.77366255144032,60.65772475721286,4.295637441761965,9444000.0,1014200.0,8429800.0
6.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,15003.0,12623.0,2380.0,5.122804454400831,65.29492455418381,60.17212009978298,5.303781512605042,9520000.0,1262300.0,8257700.0
7.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,17504.0,15104.0,2400.0,6.129671114574202,65.84362139917695,59.71395028460275,6.293333333333333,9600000.0,1510400.0,8089600.0
8.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,20004.0,17585.0,2419.0,7.136537774747573,66.36488340192044,59.228345627172864,7.269532864820174,9676000.0,1758500.0,7917500.0
9.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,22505.0,20067.0,2438.0,8.143810265900457,66.88614540466392,58.742335138763465,8.23092698933552,9752000.0,2006700.0,7745300.0
10.0,2500.0,2476.0,24.0,99.04,0.9599999999999937,25005.0,22543.0,2462.0,9.148647771176261,67.5445816186557,58.39593384747944,9.156376929325752,9848000.0,2254300.0,7593700.0
11.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,27506.0,25030.0,2476.0,10.157949417226714,67.92866941015089,57.77071999292417,10.109046849757673,9904000.0,2503000.0,7401000.0
12.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,30006.0,27516.0,2490.0,11.166845232297653,68.3127572016461,57.14591196934844,11.050602409638554,9960000.0,2751600.0,7208400.0
13.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,32507.0,30003.0,2504.0,12.176146878348106,68.69684499314128,56.52069811479318,11.98202875399361,10016000.0,3000300.0,7015700.0
14.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,35007.0,32488.0,2519.0,13.18463686243953,69.10836762688615,55.92373076444662,12.897181421198889,10076000.0,3248800.0,6827200.0
15.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,37508.0,34972.0,2536.0,14.192721015551443,69.57475994513031,55.38203892957887,13.790220820189274,10144000.0,3497200.0,6646800.0
